2024/11/21 14:50:47 logger.go:19: ERROR: failed to kill process: exit status 1
2024/11/21 14:50:47 logger.go:19: ERROR: failed to kill process: exit status 1
2024/11/21 14:50:47 logger.go:19: ERROR: failed to kill process: exit status 1
2024/11/21 14:50:47 logger.go:19: ERROR: failed to kill process: exit status 1
2025/05/05 13:18:21 logger.go:19: ERROR: failed to save new image: exit status 1
2025/05/05 13:32:46 logger.go:19: ERROR: failed to kill process: exit status 1
2025/05/05 13:47:38 logger.go:19: ERROR: failed to save new image: exit status 1
2025/08/26 20:17:24 logger.go:19: ERROR: invalid character '<' looking for beginning of value
2025/08/26 20:23:07 logger.go:19: ERROR: invalid character '<' looking for beginning of value
2025/08/26 20:24:05 logger.go:19: ERROR: invalid character '<' looking for beginning of value
2025/08/26 20:28:05 logger.go:19: ERROR: invalid character '<' looking for beginning of value
2025/08/26 20:38:57 logger.go:19: ERROR: invalid character '<' looking for beginning of value
2025/08/26 20:38:58 logger.go:19: ERROR: invalid character '<' looking for beginning of value
2025/08/26 20:39:06 logger.go:19: ERROR: invalid character '<' looking for beginning of value
2025/08/26 20:39:10 logger.go:19: ERROR: invalid character '<' looking for beginning of value
2025/08/26 20:39:11 logger.go:19: ERROR: invalid character '<' looking for beginning of value
2025/08/26 20:39:14 logger.go:19: ERROR: invalid character '<' looking for beginning of value
2025/08/26 20:39:15 logger.go:19: ERROR: invalid character '<' looking for beginning of value
2025/08/26 20:57:57 logger.go:19: ERROR: invalid character '<' looking for beginning of value
2025/08/26 20:57:58 logger.go:19: ERROR: invalid character '<' looking for beginning of value
2025/08/26 21:01:55 logger.go:19: ERROR: invalid character '<' looking for beginning of value
2025/08/26 21:02:08 logger.go:19: ERROR: invalid character '<' looking for beginning of value
2025/08/26 21:03:28 logger.go:19: ERROR: invalid character '<' looking for beginning of value
